county,fips,name,type,phone,title_raw
Anderson,48001,"Mitchell, Allyson",criminal_district_attorney,(903) 723-7400,Crim Dist Atty
Andrews,48003,"Galloway, Sean B.",county_attorney,(432) 524-1405,Co Atty
Andrews,48003,"Galloway, Sean B.",district_attorney,(432) 524-1405,Dist Atty
Angelina,48005,"Yakovsky, James M.",county_attorney,(936) 639-3929,Co Atty
Angelina,48005,"Thompson, Layne A.",district_attorney,(936) 632-5090,Dist Atty
Aransas,48007,"Oster, Amanda B.",county_attorney,(361) 790-0114,Co Atty
Archer,48009,"Berend, Jordyn A.",county_attorney,(940) 574-4724,Co Atty
Archer,48009,"Boggeman, Katie",district_attorney,(940) 894-6211,Dist Atty
Armstrong,48011,"Herring, Jason E.",district_attorney,(806) 379-2325,Dist Atty
Atascosa,48013,"Solis, Molly G.",county_attorney,(830) 769-3573,Co Atty
Atascosa,48013,"Louis, Audrey",district_attorney,(830) 393-2200,Dist Atty
Austin,48015,"Robinson, Brandy N.",criminal_district_attorney,(979) 865-5933,Crim Dist Atty
Bailey,48017,"Kee, Michaela",county_attorney,(806) 272-4205,Co Atty
Bailey,48017,"Claborn II, Jackie Riley",district_attorney,(806) 272-4205,Dist Atty
Bandera,48019,"Lindig, Janna Ivey",county_attorney,(830) 796-4075,Co Atty
Bandera,48019,"Harpold, Stephen",district_attorney,(830) 315-2460,Dist Atty
Bastrop,48021,"Goertz, Bryan",criminal_district_attorney,(512) 581-7125,Crim Dist Atty
Baylor,48023,"Ayres, Cynthia",county_attorney,(940) 889-5140,Co Atty
Baylor,48023,"Elliott, Susan",county_attorney,(940) 889-5140,Co Atty
Baylor,48023,"Brooks, Jameson H.",district_attorney,(940) 889-2852,Dist Atty
Bee,48025,"Knight, Mike",county_attorney,(361) 362-3237,Co Atty
Bee,48025,"McWilliams, Tiffany",district_attorney,(361) 358-1007,Dist Atty
Bell,48027,"Nichols, James E.",county_attorney,(254) 933-5135,Co Atty
Bell,48027,"Newell, Stephanie",district_attorney,(254) 933-5215,Dist Atty
Bexar,48029,"Gonzales, Joe",criminal_district_attorney,(210) 335-2311,Crim Dist Atty
Blanco,48031,"Earley, Deborah",county_attorney,(830) 868-4447,Co Atty
Blanco,48031,"Thomas, Perry",district_attorney,(512) 756-5449,Dist Atty
Borden,48033,"Holbrooks, Marlo",county_attorney,(806) 756-4351,Co Atty
Borden,48033,"Smith, Ben",district_attorney,(325) 573-2462,Dist Atty
Bosque,48035,"Brown, Zach Cobb",county_attorney,(254) 435-2186,Co Atty
Bosque,48035,"Sibley, Adam",district_attorney,(254) 435-2994,Dist Atty
Bowie,48037,"Rochelle, Jerry",criminal_district_attorney,(903) 735-4800,Crim Dist Atty
Brazoria,48039,"Selleck, Tom",criminal_district_attorney,(979) 864-1230,Crim Dist Atty
Brazos,48041,"Gray, Earl",county_attorney,(979) 361-4300,Co Atty
Brazos,48041,"Parsons, Jarvis",district_attorney,(979) 361-4320,Dist Atty
Brewster,48043,"Houston, Steve",county_attorney,(432) 837-6209,Co Atty
Brewster,48043,"White, Ori",district_attorney,(432) 837-0990,Dist Atty
Briscoe,48045,"Teegardin, Emily",county_attorney,(806) 823-2132,Co Atty
Briscoe,48045,"Teegardin, Emily",district_attorney,(806) 983-2197,Dist Atty
Brooks,48047,"Garcia, David T.",county_attorney,(361) 325-5604,Co Atty
Brooks,48047,"Garcia, Carlos O.",district_attorney,(361) 664-5716,Dist Atty
Brown,48049,"Broughton, Jennifer",county_attorney,(325) 646-7431,Co Atty
Brown,48049,"Murray, Micheal",district_attorney,(325) 646-0444,Dist Atty
Burleson,48051,"Deski, Susan",county_attorney,(979) 567-2340,Co Atty
Burleson,48051,"Deski, Susan",district_attorney,(979) 567-2350,Dist Atty
Burnet,48053,"Arredondo, Eduardo",county_attorney,(512) 756-5476,Co Atty
Burnet,48053,"Thomas, Perry",district_attorney,(512) 756-5449,Dist Atty
Caldwell,48055,"Weber, Fred",criminal_district_attorney,(512) 398-1811,Crim Dist Atty
Calhoun,48057,"Rodriguez, Sara",criminal_district_attorney,(361) 553-4422,Crim Dist Atty
Callahan,48059,"Deel, Shane",county_attorney,(325) 854-5810,Co Atty
Callahan,48059,"Deel, Shane",district_attorney,(325) 854-5810,Dist Atty
Cameron,48061,"Saenz, Luis V.",county_attorney,(956) 544-0849,Co Atty
Cameron,48061,"Saenz, Luis V.",district_attorney,(956) 544-0849,Dist Atty
Camp,48063,"Wallace III, James (Jas)",county_attorney,(903) 856-2409,Co Atty
Camp,48063,"Bailey, Charles C.",district_attorney,(903) 577-6726,Dist Atty
Carson,48065,"Sherwood, Cho",county_attorney,(806) 537-3220,Co Atty
Carson,48065,"Inman, Luke McLean",district_attorney,(806) 447-0055,Dist Atty
Cass,48067,"Shelton, Courtney",criminal_district_attorney,(903) 756-7541,Crim Dist Atty
Castro,48069,"Hamlin, Shalyn",county_attorney,(806) 647-4445,Co Atty
Castro,48069,"Hamlin, Shalyn",district_attorney,(806) 647-4445,Dist Atty
Chambers,48071,"Land, Ashley Cain",county_attorney,(409) 267-2411,Co Atty
Chambers,48071,"Lieck, Cheryl Swope",district_attorney,(409) 267-2680,Dist Atty
Cherokee,48073,"Young, Dana",county_attorney,(903) 683-2423,Co Atty
Cherokee,48073,"Beckworth, Jr., Elmer C.",district_attorney,(903) 683-2573,Dist Atty
Childress,48075,"Buckley, Greg",county_attorney,(940) 937-6158,Co Atty
Childress,48075,"Inman, Luke McLean",district_attorney,(806) 447-0055,Dist Atty
Clay,48077,"Slagle, Seth Clayton",county_attorney,(940) 538-6677,Co Atty
Clay,48077,"Boggeman, Katie",district_attorney,(940) 894-6211,Dist Atty
Cochran,48079,"Martin, Amanda",county_attorney,(806) 266-8661,Co Atty
Cochran,48079,"Yandell, Donnie",district_attorney,(806) 894-3130,Dist Atty
Coke,48081,"Arrott II, Nicholas",county_attorney,(325) 453-2712,Co Atty
Coke,48081,"Palmer, Allison",district_attorney,(325) 659-6584,Dist Atty
Coleman,48083,"Wise, Hayden",county_attorney,(325) 625-3731,Co Atty
Coleman,48083,"Hemphill, Heath",district_attorney,(325) 625-1316,Dist Atty
Collin,48085,"Willis, Greg",criminal_district_attorney,(972) 548-4323,Crim Dist Atty
Collingsworth,48087,"Davis, G. Keith",county_attorney,(806) 447-2518,Co Atty
Collingsworth,48087,"Inman, Luke McLean",district_attorney,(806) 447-0055,Dist Atty
Colorado,48089,"Johannes, Jay",county_attorney,(979) 732-8203,Co Atty
Colorado,48089,"Johannes, Jay",district_attorney,(979) 732-8203,Dist Atty
Comal,48091,"Owens Tharp, Jennifer Anne",criminal_district_attorney,(830) 221-1300,Crim Dist Atty
Comanche,48093,"Willingham, Craig",county_attorney,(325) 356-2313,Co Atty
Comanche,48093,"Sibley, Adam",district_attorney,(254) 435-2994,Dist Atty
Concho,48095,"Treadwell, Ginger",county_attorney,(325) 732-4315,Co Atty
Concho,48095,"Best, John",district_attorney,(325) 659-6585,Dist Atty
Cooke,48097,"Zielinski, Edmund",county_attorney,(940) 668-5459,Co Atty
Cooke,48097,"Warren, John",district_attorney,(940) 668-5466,Dist Atty
Coryell,48099,"Belt, Brandon",county_attorney,(254) 248-3180,Co Atty
Coryell,48099,"Boyd, Dusty",district_attorney,(254) 865-5911,Dist Atty
Cottle,48101,"Buckley, Greg",county_attorney,(940) 937-6158,Co Atty
Cottle,48101,"Brooks, Jameson H.",district_attorney,(940) 889-2852,Dist Atty
Crane,48103,"Rawls, Austin",county_attorney,(432) 272-8954,Co Atty
Crane,48103,"Navarette, Amanda Ann",district_attorney,(432) 586-3700,Dist Atty
Crockett,48105,"Upham, Jody",county_attorney,(325) 392-3920,Co Atty
Crockett,48105,"Dodd, Stephen",district_attorney,(432) 336-6294,Dist Atty
Crosby,48107,"Sales, Michael",county_attorney,(806) 675-2062,Co Atty
Crosby,48107,"Sales, Michael",district_attorney,(806) 675-2062,Dist Atty
Culberson,48109,"Mitchell, Stephen L.",county_attorney,(432) 283-2391,Co Atty
Culberson,48109,"Hicks, Jr., Bill",district_attorney,(915) 546-2059,Dist Atty
Dallam,48111,"Hill, Whitney",county_attorney,(806) 244-5711,Co Atty
Dallas,48113,"Creuzot, John",district_attorney,(214) 653-3600,Dist Atty
Dawson,48115,"Payson, Steven B.",county_attorney,(806) 329-3308,Co Atty
Dawson,48115,"Furlow, Philip Mack",district_attorney,(806) 872-2259,Dist Atty
Deaf Smith,48117,"Strowd, Chris",criminal_district_attorney,(806) 364-3700,Crim Dist Atty
Delta,48119,"Garrett, Jr., Edgar J.",county_attorney,(903) 395-4400,Co Atty
Delta,48119,"Ramsay, Will",district_attorney,(903) 885-0641,Dist Atty
Denton,48121,"Johnson, Paul",criminal_district_attorney,(940) 349-2600,Crim Dist Atty
Dewitt,48123,"Condie, A. Jay",county_attorney,(361) 275-0812,Co Atty
Dewitt,48123,"Cromeens, Brian M.",district_attorney,(361) 275-2612,Dist Atty
Dickens,48125,"Clements, Aaron",county_attorney,(806) 786-4776,Co Atty
Dickens,48125,"Teegardin, Emily",district_attorney,(806) 983-2197,Dist Atty
Dimmit,48127,"Gonzalez, Daniel M.",county_attorney,(830) 876-4236,Co Atty
Dimmit,48127,"Serna, Roberto",district_attorney,(830) 773-9263,Dist Atty
Donley,48129,"Lambert, Landon P.",county_attorney,(806) 874-0216,Co Atty
Donley,48129,"Inman, Luke McLean",district_attorney,(806) 447-0055,Dist Atty
Duval,48131,"Gutierrez, Baldemar",county_attorney,(361) 664-7377,Co Atty
Duval,48131,"Escobar, Omar",district_attorney,(361) 279-6220,Dist Atty
Eastland,48133,"Stephenson, Brad",criminal_district_attorney,(254) 629-2659,Crim Dist Atty
Ector,48135,"Prentice, Julie",county_attorney,(432) 498-4150,Co Atty
Ector,48135,"Gallivan, Dwight (Dusty)",district_attorney,(432) 498-4230,Dist Atty
Edwards,48137,"Moody, Allen Ray",county_attorney,(830) 683-6128,Co Atty
Edwards,48137,"Ahlschwede, Tonya Spaeth",district_attorney,(325) 347-8400,Dist Atty
El Paso,48141,"Sanchez, Christina",county_attorney,(915) 273-3238,Co Atty
El Paso,48141,"Hicks, Jr., Bill",district_attorney,(915) 546-2059,Dist Atty
Ellis,48139,"Beaty, Lindy",county_attorney,(972) 825-5035,Co Atty
Ellis,48139,"Beaty, Lindy",district_attorney,(972) 825-5035,Dist Atty
Erath,48143,"Espinoza, Bethany",county_attorney,(254) 965-1453,Co Atty
Erath,48143,"Nash, Alan",district_attorney,(254) 965-1462,Dist Atty
Falls,48145,"Gilliam, Kathryn Jody",county_attorney,(254) 883-1416,Co Atty
Falls,48145,"Gilliam, Kathryn Jody",district_attorney,(254) 883-1416,Dist Atty
Fannin,48147,"Kotnik, John",county_attorney,(903) 583-7448,Co Atty
Fannin,48147,"Kotnik, John",district_attorney,(903) 583-7448,Dist Atty
Fayette,48149,"Herbrich, James S.",county_attorney,(979) 968-8402,Co Atty
Fayette,48149,"Herbrich, James S.",district_attorney,(979) 968-8402,Dist Atty
Fisher,48151,"Brooks, Morgan",county_attorney,(325) 776-3251,Co Atty
Fisher,48151,"Thompson, Richard",district_attorney,(325) 235-8639,Dist Atty
Floyd,48153,"Herrington, Lex",county_attorney,(806) 983-4924,Co Atty
Floyd,48153,"Teegardin, Emily",district_attorney,(806) 983-2197,Dist Atty
Foard,48155,"Baylor, Karen L.",county_attorney,(940) 684-1443,Co Atty
Foard,48155,"Whitsitt, Jon",district_attorney,(940) 553-3346,Dist Atty
Fort Bend,48157,"Smith-Lawson, Bridgette",county_attorney,(281) 341-4555,Co Atty
Fort Bend,48157,"Middleton, Brian M.",district_attorney,(281) 341-4460,Dist Atty
Franklin,48159,"Ramsey, Landon",county_attorney,(903) 537-2342,Co Atty
Franklin,48159,"Ramsay, Will",district_attorney,(903) 885-0641,Dist Atty
Freestone,48161,"Evans, Brian",county_attorney,(903) 389-3977,Co Atty
Freestone,48161,"Evans, Brian E.",district_attorney,(903) 389-3977,Dist Atty
Frio,48163,"Sindon, Joseph A.",county_attorney,(830) 334-2162,Co Atty
Frio,48163,"Louis, Audrey",district_attorney,(830) 393-2200,Dist Atty
Gaines,48165,"Nagy, Jr., Joe H.",county_attorney,(432) 758-4001,Co Atty
Gaines,48165,"Furlow, Philip Mack",district_attorney,(806) 872-2259,Dist Atty
Galveston,48167,"Roady, Jack",criminal_district_attorney,(409) 766-2355,Crim Dist Atty
Garza,48169,"Velez, Annhya",county_attorney,(806) 495-4440,Co Atty
Garza,48169,"Furlow, Philip",district_attorney,(806) 872-2259,Dist Atty
Gillespie,48171,"Neel, Sara",county_attorney,(830) 990-0675,Co Atty
Glasscock,48173,"Hamby, Joshua",county_attorney,(432) 264-2220,Co Atty
Glasscock,48173,"Hamby, Joshua",district_attorney,(432) 264-2220,Dist Atty
Goliad,48175,"Breen, Terry",county_attorney,(361) 645-2184,Co Atty
